Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SHW,Sherwin-Williams Company,342.86,0.86,0.25%,342.23,341.91,12575,09:39 ET
SJM,J.M. Smucker Company,123.59,-0.04,-0.03%,124.03,123.58,12551,09:44 ET
SLB,Schlumberger N.V.,54.35,0.04,0.07%,54.45,54.31,110651,09:46 ET
SMCI,Super Micro Computer,1077.05,34.26,3.29%,1089,1075.5,376032,09:46 ET
SNA,Snap-On Inc,291.42,-0.47,-0.16%,291.96,290.98,2732,09:45 ET
SNPS,Synopsys Inc,589.72,5.4,0.92%,585.525,584.1401,54136,09:46 ET
SO,Southern Company,69.58,-0.18,-0.26%,69.72,69.51,35183,09:46 ET
SPG,Simon Property Group,151.48,0.42,0.28%,151.4399,151.06,13257,09:45 ET
SPGI,S&P Global Inc,418.48,-0.33,-0.08%,419.12,417.245,19006,09:46 ET
SRE,Sempra,69.5,-0.13,-0.19%,69.78,69.61,27144,09:45 ET
STE,Steris Corp,221.78,1.11,0.50%,221.38,221.31,4115,09:45 ET
STLD,Steel Dynamics Inc,144.76,0.61,0.42%,144.925,144.6,5980,09:46 ET
STT,State Street Corp,76.21,0.56,0.74%,76.08,75.65,17983,09:46 ET
STX,Seagate Technology Hldgs Plc,95.45,7.24,8.21%,94.865,92.76,312235,09:46 ET
STZ,Constellation Brands Inc,269.92,-0.52,-0.19%,271.07,270.02,11984,09:46 ET
SWK,Stanley Black & Decker Inc,94.53,0.1,0.11%,94.66,94.4701,8145,09:46 ET
SWKS,Skyworks Solutions,105.86,0.9,0.86%,105.38,104.88,34628,09:46 ET
SYF,Synchrony Financial,41.52,0.2,0.48%,41.55,41.37,29659,09:46 ET
SYK,Stryker Corp,352.57,1.54,0.44%,352.12,351.17,12629,09:46 ET
SYY,Sysco Corp,81.35,0.47,0.58%,81.1,80.95,21680,09:45 ET
T,AT&T Inc,17.11,-0.01,-0.06%,17.15,17.13,1649948,09:46 ET
TAP,Molson Coors Brewing Company,68.05,0.38,0.56%,67.93,67.76,14210,09:43 ET
TDG,Transdigm Group Inc,1221.39,-2.02,-0.17%,1226.795,1226.16,1319,09:41 ET
TDY,Teledyne Technologies Inc,422.79,0.78,0.18%,422.79,422.79,1112,3/26/2024
TECH,Bio-Techne Cp,68.97,-0.25,-0.36%,69.45,69.22,3233,09:46 ET
TEL,Te Connectivity Ltd,142.08,0.47,0.33%,141.93,141.4375,13163,09:46 ET
TER,Teradyne Inc,110.03,1.13,1.04%,109.6,108.9,14063,09:46 ET
TFC,Truist Financial Corp,37.75,0.15,0.40%,37.85,37.7,77191,09:46 ET
TFX,Teleflex Inc,219.6,-0.05,-0.02%,220.53,220.53,890,09:45 ET
TGT,Target Corp,173.61,0.95,0.55%,173.49,172.6,152812,09:45 ET
TJX,TJX Companies,98.62,0.44,0.45%,98.45,98.21,52434,09:45 ET
TMO,Thermo Fisher Scientific Inc,574.5,0.94,0.16%,574.42,572.56,23873,09:45 ET
TMUS,T-Mobile US,160.9,-0.22,-0.14%,160.62,160.07,83929,09:46 ET
TPR,Tapestry Inc,45.49,-0.06,-0.13%,45.98,45.71,37568,09:46 ET
TRGP,Targa Resources,111.18,-0.43,-0.39%,111.68,111.27,67385,09:45 ET
TRMB,Trimble Navigation,63.64,0.54,0.86%,63.445,63.13,10111,09:46 ET
TROW,T Rowe Price Group,119.11,0.78,0.66%,119.46,119.12,16010,09:45 ET
